scenario,run #,output dollar year,target station capacity (kg/day),target number of stations,one-way delivery distance (mile),electricity cost ($/kWh),diesel cost ($/gallon),electricity emission factor (kg CO2/kWh),diesel emission factor (kg CO2/gallon),hydrogen prod. emission factor (kg CO2-eq/kg),formic acid prod. emission factor (kg CO2-eq/kg),hydrogen purchase cost ($/kg),formic acid purchase cost ($/kg),formic acid production pathway,hydr. reaction temperature (K),hydr. reaction pressure (bar),hydr. reaction yield,hydr. reactor volume (m^3),number of hydr. reactors,hydr. catalyst amount (kg),hydr. catalyst cost ($/kg),hydr. catalyst lifetime (yr),hydr. reactor energy (unit TBD),hydr. separator energy (unit TBD),CO2 electrolyzer purchase cost ($/m^2),terminal formic acid storage amount (days),dehydr. reaction temperature (K),dehydr. reaction pressure (bar),dehydr. reaction yield,dehydr. reactor volume (m^3),number of dehydr. reactors,dehydr. catalyst amount (kg),dehydr. catalyst cost ($/kg),dehydr. catalyst lifetime (yr),dehydr. reactor energy (unit TBD),dehydr. gas/liquid separator energy (unit TBD),station formic acid storage amount (days),pathway,location,total levelized cost of hydrogen ($/kg H2)
Pd 4nm,1,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,300.0,1.0,0.9999,0.0731028611028611,1.0,9.646712033422434,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,refueling station,6.08745778362643
Pd 4nm,1,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,300.0,1.0,0.9999,0.0731028611028611,1.0,9.646712033422434,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,terminal,15.020300860716624
Pd 4nm,1,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,300.0,1.0,0.9999,0.0731028611028611,1.0,9.646712033422434,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,truck,11.135787798322093
Pd 4nm,1,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,300.0,1.0,0.9999,0.0731028611028611,1.0,9.646712033422434,3500.0,1.0,0.0,0.0,1.0,compressed hydrogen,refueling station,2.5034941358787273
Pd 4nm,1,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,300.0,1.0,0.9999,0.0731028611028611,1.0,9.646712033422434,3500.0,1.0,0.0,0.0,1.0,compressed hydrogen,terminal,2.7909702422978375
Pd 4nm,1,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,300.0,1.0,0.9999,0.0731028611028611,1.0,9.646712033422434,3500.0,1.0,0.0,0.0,1.0,compressed hydrogen,truck,0.877489096338476
Pd 4nm,1,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,300.0,1.0,0.9999,0.0731028611028611,1.0,9.646712033422434,3500.0,1.0,0.0,0.0,1.0,liquid hydrogen,liquefier,4.4352310750937525
Pd 4nm,1,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,300.0,1.0,0.9999,0.0731028611028611,1.0,9.646712033422434,3500.0,1.0,0.0,0.0,1.0,liquid hydrogen,refueling station,1.8662260539119262
Pd 4nm,1,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,300.0,1.0,0.9999,0.0731028611028611,1.0,9.646712033422434,3500.0,1.0,0.0,0.0,1.0,liquid hydrogen,terminal,0.6629559750387
Pd 4nm,1,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,300.0,1.0,0.9999,0.0731028611028611,1.0,9.646712033422434,3500.0,1.0,0.0,0.0,1.0,liquid hydrogen,truck,0.30940815950784856
Pd 4nm,2,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,310.5263157894737,1.0,0.9999,0.0306770616770616,1.0,4.048169600554391,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,refueling station,6.0174012712668326
Pd 4nm,2,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,310.5263157894737,1.0,0.9999,0.0306770616770616,1.0,4.048169600554391,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,terminal,15.020300860716624
Pd 4nm,2,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,310.5263157894737,1.0,0.9999,0.0306770616770616,1.0,4.048169600554391,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,truck,11.135787798322093
Pd 4nm,2,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,310.5263157894737,1.0,0.9999,0.0306770616770616,1.0,4.048169600554391,3500.0,1.0,0.0,0.0,1.0,compressed hydrogen,refueling station,2.5034941358787273
Pd 4nm,2,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,310.5263157894737,1.0,0.9999,0.0306770616770616,1.0,4.048169600554391,3500.0,1.0,0.0,0.0,1.0,compressed hydrogen,terminal,2.7909702422978375
Pd 4nm,2,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,310.5263157894737,1.0,0.9999,0.0306770616770616,1.0,4.048169600554391,3500.0,1.0,0.0,0.0,1.0,compressed hydrogen,truck,0.877489096338476
Pd 4nm,2,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,310.5263157894737,1.0,0.9999,0.0306770616770616,1.0,4.048169600554391,3500.0,1.0,0.0,0.0,1.0,liquid hydrogen,liquefier,4.4352310750937525
Pd 4nm,2,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,310.5263157894737,1.0,0.9999,0.0306770616770616,1.0,4.048169600554391,3500.0,1.0,0.0,0.0,1.0,liquid hydrogen,refueling station,1.8662260539119262
Pd 4nm,2,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,310.5263157894737,1.0,0.9999,0.0306770616770616,1.0,4.048169600554391,3500.0,1.0,0.0,0.0,1.0,liquid hydrogen,terminal,0.6629559750387
Pd 4nm,2,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,310.5263157894737,1.0,0.9999,0.0306770616770616,1.0,4.048169600554391,3500.0,1.0,0.0,0.0,1.0,liquid hydrogen,truck,0.30940815950784856
Pd 4nm,3,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,321.0526315789474,1.0,0.9999,0.0136387486387486,1.0,1.7997801813681762,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,refueling station,5.99397875421117
Pd 4nm,3,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,321.0526315789474,1.0,0.9999,0.0136387486387486,1.0,1.7997801813681762,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,terminal,15.020300860716624
Pd 4nm,3,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,321.0526315789474,1.0,0.9999,0.0136387486387486,1.0,1.7997801813681762,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,truck,11.135787798322093
Pd 4nm,3,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,321.0526315789474,1.0,0.9999,0.0136387486387486,1.0,1.7997801813681762,3500.0,1.0,0.0,0.0,1.0,compressed hydrogen,refueling station,2.5034941358787273
Pd 4nm,3,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,321.0526315789474,1.0,0.9999,0.0136387486387486,1.0,1.7997801813681762,3500.0,1.0,0.0,0.0,1.0,compressed hydrogen,terminal,2.7909702422978375
Pd 4nm,3,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,321.0526315789474,1.0,0.9999,0.0136387486387486,1.0,1.7997801813681762,3500.0,1.0,0.0,0.0,1.0,compressed hydrogen,truck,0.877489096338476
Pd 4nm,3,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,321.0526315789474,1.0,0.9999,0.0136387486387486,1.0,1.7997801813681762,3500.0,1.0,0.0,0.0,1.0,liquid hydrogen,liquefier,4.4352310750937525
Pd 4nm,3,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,321.0526315789474,1.0,0.9999,0.0136387486387486,1.0,1.7997801813681762,3500.0,1.0,0.0,0.0,1.0,liquid hydrogen,refueling station,1.8662260539119262
Pd 4nm,3,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,321.0526315789474,1.0,0.9999,0.0136387486387486,1.0,1.7997801813681762,3500.0,1.0,0.0,0.0,1.0,liquid hydrogen,terminal,0.6629559750387
Pd 4nm,3,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,321.0526315789474,1.0,0.9999,0.0136387486387486,1.0,1.7997801813681762,3500.0,1.0,0.0,0.0,1.0,liquid hydrogen,truck,0.30940815950784856
Pd 4nm,4,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,331.578947368421,1.0,0.9999,0.00637946737946737,1.0,0.8418396189684176,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,refueling station,5.988519233377347
Pd 4nm,4,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,331.578947368421,1.0,0.9999,0.00637946737946737,1.0,0.8418396189684176,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,terminal,15.020300860716624
Pd 4nm,4,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,331.578947368421,1.0,0.9999,0.00637946737946737,1.0,0.8418396189684176,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,truck,11.135787798322093
Pd 4nm,4,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,331.578947368421,1.0,0.9999,0.00637946737946737,1.0,0.8418396189684176,3500.0,1.0,0.0,0.0,1.0,compressed hydrogen,refueling station,2.5034941358787273
Pd 4nm,4,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,331.578947368421,1.0,0.9999,0.00637946737946737,1.0,0.8418396189684176,3500.0,1.0,0.0,0.0,1.0,compressed hydrogen,terminal,2.7909702422978375
Pd 4nm,4,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,331.578947368421,1.0,0.9999,0.00637946737946737,1.0,0.8418396189684176,3500.0,1.0,0.0,0.0,1.0,compressed hydrogen,truck,0.877489096338476
Pd 4nm,4,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,331.578947368421,1.0,0.9999,0.00637946737946737,1.0,0.8418396189684176,3500.0,1.0,0.0,0.0,1.0,liquid hydrogen,liquefier,4.4352310750937525
Pd 4nm,4,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,331.578947368421,1.0,0.9999,0.00637946737946737,1.0,0.8418396189684176,3500.0,1.0,0.0,0.0,1.0,liquid hydrogen,refueling station,1.8662260539119262
Pd 4nm,4,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,331.578947368421,1.0,0.9999,0.00637946737946737,1.0,0.8418396189684176,3500.0,1.0,0.0,0.0,1.0,liquid hydrogen,terminal,0.6629559750387
Pd 4nm,4,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,331.578947368421,1.0,0.9999,0.00637946737946737,1.0,0.8418396189684176,3500.0,1.0,0.0,0.0,1.0,liquid hydrogen,truck,0.30940815950784856
Pd 4nm,5,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,342.1052631578947,1.0,0.9999,0.00312978912978913,1.0,0.4130094773982774,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,refueling station,5.990424908335913
Pd 4nm,5,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,342.1052631578947,1.0,0.9999,0.00312978912978913,1.0,0.4130094773982774,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,terminal,15.020300860716624
Pd 4nm,5,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,342.1052631578947,1.0,0.9999,0.00312978912978913,1.0,0.4130094773982774,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,truck,11.135787798322093
Pd 4nm,5,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,342.1052631578947,1.0,0.9999,0.00312978912978913,1.0,0.4130094773982774,3500.0,1.0,0.0,0.0,1.0,compressed hydrogen,refueling station,2.5034941358787273
Pd 4nm,5,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,342.1052631578947,1.0,0.9999,0.00312978912978913,1.0,0.4130094773982774,3500.0,1.0,0.0,0.0,1.0,compressed hydrogen,terminal,2.7909702422978375
Pd 4nm,5,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,342.1052631578947,1.0,0.9999,0.00312978912978913,1.0,0.4130094773982774,3500.0,1.0,0.0,0.0,1.0,compressed hydrogen,truck,0.877489096338476
Pd 4nm,5,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,342.1052631578947,1.0,0.9999,0.00312978912978913,1.0,0.4130094773982774,3500.0,1.0,0.0,0.0,1.0,liquid hydrogen,liquefier,4.4352310750937525
Pd 4nm,5,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,342.1052631578947,1.0,0.9999,0.00312978912978913,1.0,0.4130094773982774,3500.0,1.0,0.0,0.0,1.0,liquid hydrogen,refueling station,1.8662260539119262
Pd 4nm,5,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,342.1052631578947,1.0,0.9999,0.00312978912978913,1.0,0.4130094773982774,3500.0,1.0,0.0,0.0,1.0,liquid hydrogen,terminal,0.6629559750387
Pd 4nm,5,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,342.1052631578947,1.0,0.9999,0.00312978912978913,1.0,0.4130094773982774,3500.0,1.0,0.0,0.0,1.0,liquid hydrogen,truck,0.30940815950784856
Pd 4nm,6,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,352.6315789473684,1.0,0.9999,0.0015999405999406,1.0,0.21112944152064153,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,refueling station,5.995489719644334
Pd 4nm,6,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,352.6315789473684,1.0,0.9999,0.0015999405999406,1.0,0.21112944152064153,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,terminal,15.020300860716624
Pd 4nm,6,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,352.6315789473684,1.0,0.9999,0.0015999405999406,1.0,0.21112944152064153,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,truck,11.135787798322093
Pd 4nm,6,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,352.6315789473684,1.0,0.9999,0.0015999405999406,1.0,0.21112944152064153,3500.0,1.0,0.0,0.0,1.0,compressed hydrogen,refueling station,2.5034941358787273
Pd 4nm,6,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,352.6315789473684,1.0,0.9999,0.0015999405999406,1.0,0.21112944152064153,3500.0,1.0,0.0,0.0,1.0,compressed hydrogen,terminal,2.7909702422978375
Pd 4nm,6,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,352.6315789473684,1.0,0.9999,0.0015999405999406,1.0,0.21112944152064153,3500.0,1.0,0.0,0.0,1.0,compressed hydrogen,truck,0.877489096338476
